wl,GreenBeetle,GolddBeetle,BlackBeetle
400,1.061590909,4.875909091,5.224090909
401,1.022099802,4.780454545,5.305849802
402,0.982608696,4.685,5.387608696
403,0.939258893,4.595340909,5.463008893
404,0.895909091,4.505681818,5.538409091
405,0.851541502,4.427623518,5.608443676
406,0.807173913,4.349565217,5.678478261
407,0.768359684,4.278418972,5.750602767
408,0.729545455,4.207272727,5.822727273
409,0.69770751,4.135592885,5.88951581
410,0.665869565,4.063913043,5.956304348
411,0.635889328,3.998661067,6.016106719
412,0.605909091,3.933409091,6.075909091
413,0.587193676,3.871704545,6.129258893
414,0.568478261,3.81,6.182608696
415,0.55708004,3.757954545,6.239486166
416,0.545681818,3.705909091,6.296363636
417,0.530449605,3.66784585,6.333290514
418,0.515217391,3.629782609,6.370217391
419,0.504767787,3.598073123,6.391472332
420,0.494318182,3.566363636,6.412727273
421,0.479333004,3.53937747,6.412994071
422,0.464347826,3.512391304,6.41326087
423,0.445543478,3.492282609,6.400652174
424,0.42673913,3.472173913,6.388043478
425,0.409782609,3.451195652,6.35826087
426,0.392826087,3.430217391,6.328478261
427,0.37173913,3.3975,6.278043478
428,0.350652174,3.364782609,6.227608696
429,0.333152174,3.337282609,6.176304348
430,0.315652174,3.309782609,6.125
431,0.302065217,3.276195652,6.049456522
432,0.288478261,3.242608696,5.973913043
433,0.275148221,3.210054348,5.894001976
434,0.261818182,3.1775,5.814090909
435,0.253735178,3.152771739,5.729980237
436,0.245652174,3.128043478,5.645869565
437,0.243962451,3.11118083,5.559412055
438,0.242272727,3.094318182,5.472954545
439,0.24048419,3.087376482,5.388759881
440,0.238695652,3.080434783,5.304565217
441,0.22576087,3.080108696,5.220108696
442,0.212826087,3.079782609,5.135652174
443,0.206630435,3.083804348,5.076630435
444,0.200434783,3.087826087,5.017608696
445,0.195217391,3.094456522,4.95076087
446,0.19,3.101086957,4.883913043
447,0.185,3.10423913,4.838478261
448,0.18,3.107391304,4.793043478
449,0.173695652,3.106304348,4.750652174
450,0.167391304,3.105217391,4.70826087
451,0.171082016,3.101017787,4.682198617
452,0.174772727,3.096818182,4.656136364
453,0.175538538,3.09416996,4.644589921
454,0.176304348,3.091521739,4.633043478
455,0.172826087,3.090326087,4.633043478
456,0.169347826,3.089130435,4.633043478
457,0.166086957,3.088369565,4.642608696
458,0.162826087,3.087608696,4.652173913
459,0.163804348,3.089891304,4.670326087
460,0.164782609,3.092173913,4.688478261
461,0.1675,3.096413043,4.703369565
462,0.170217391,3.100652174,4.71826087
463,0.175217391,3.107391304,4.73423913
464,0.180217391,3.114130435,4.750217391
465,0.183695652,3.1225,4.759891304
466,0.187173913,3.130869565,4.769565217
467,0.187826087,3.142065217,4.771630435
468,0.188478261,3.15326087,4.773695652
469,0.187608696,3.174565217,4.769782609
470,0.18673913,3.195869565,4.765869565
471,0.186195652,3.217282609,4.756956522
472,0.185652174,3.238695652,4.748043478
473,0.187934783,3.267391304,4.73
474,0.190217391,3.296086957,4.711956522
475,0.194900362,3.327522645,4.691811594
476,0.199583333,3.358958333,4.671666667
477,0.205878623,3.395457428,4.650289855
478,0.212173913,3.431956522,4.628913043
479,0.220869565,3.481956522,4.603804348
480,0.229565217,3.531956522,4.578695652
481,0.237608696,3.581847826,4.559347826
482,0.245652174,3.63173913,4.54
483,0.256630435,3.711847826,4.521956522
484,0.267608696,3.791956522,4.503913043
485,0.282934783,3.893586957,4.49326087
486,0.29826087,3.995217391,4.482608696
487,0.315326087,4.095978261,4.479021739
488,0.332391304,4.19673913,4.475434783
489,0.356847826,4.350108696,4.477391304
490,0.381304348,4.503478261,4.479347826
491,0.402826087,4.651521739,4.485869565
492,0.424347826,4.799565217,4.492391304
