wl,halfsun,visfilterTransmittance,nirfilterTransmittance
400,1.6255,87.08227273,1.260909091
401,1.6353,87.03722332,1.242628459
402,1.6451,86.99217391,1.224347826
403,1.6549,86.55540514,1.20603755
404,1.6647,86.11863636,1.187727273
405,1.6745,85.94801383,1.170602767
406,1.689,85.7773913,1.153478261
407,1.7035,85.93278656,1.13833004
408,1.718,86.08818182,1.123181818
409,1.7325,86.266917,1.112677866
410,1.747,86.44565217,1.102173913
411,1.7686,86.51373518,1.084268775
412,1.7902,86.58181818,1.066363636
413,1.8118,86.73025692,1.029486166
414,1.8334,86.87869565,0.992608696
415,1.855,86.97002965,0.950849803
416,1.8845,87.06136364,0.909090909
417,1.914,86.93546443,0.864110672
418,1.9435,86.80956522,0.819130435
419,1.973,86.64273716,0.774337945
420,2.0025,86.47590909,0.729545455
421,2.0355,86.4590415,0.704120554
422,2.0685,86.44217391,0.678695652
423,2.1015,86.51913044,0.67826087
424,2.1345,86.59608696,0.677826087
425,2.1675,86.70956522,0.689782609
426,2.1929,86.82304348,0.70173913
427,2.2183,86.89630435,0.715434783
428,2.2437,86.96956522,0.729130435
429,2.2691,87.09478261,0.737608696
430,2.2945,87.22,0.746086957
431,2.2682,87.48152174,0.749782609
432,2.2419,87.74304348,0.753478261
433,2.2156,88.01243083,0.742420949
434,2.1893,88.28181818,0.731363636
435,2.163,88.41699605,0.709812253
436,2.141,88.55217391,0.68826087
437,2.119,88.72608696,0.673221344
438,2.097,88.9,0.658181818
439,2.075,89.08782609,0.646264822
440,2.053,89.27565217,0.634347826
441,2.0369,89.48608696,0.616086957
442,2.0208,89.69652174,0.597826087
443,2.0047,89.77108696,0.587173913
444,1.9886,89.84565217,0.576521739
445,1.9725,89.97717391,0.575217391
446,1.9565,90.10869565,0.573913043
447,1.9405,90.22326087,0.573478261
448,1.9245,90.33782609,0.573043478
449,1.9085,90.43913044,0.572173913
450,1.8925,90.54043478,0.571304348
451,1.8764,90.51294467,0.575879447
452,1.8603,90.48545455,0.580454545
453,1.8442,90.35664032,0.576531621
454,1.8281,90.22782609,0.572608696
455,1.812,90.11326087,0.558478261
456,1.8008,89.99869565,0.544347826
457,1.7896,89.97130435,0.53326087
458,1.7784,89.94391304,0.522173913
459,1.7672,89.9976087,0.513478261
460,1.756,90.05130435,0.504782609
461,1.773,90.10913044,0.497173913
462,1.79,90.16695652,0.489565217
463,1.807,90.27217391,0.483695652
464,1.824,90.3773913,0.477826087
465,1.841,90.49826087,0.475434783
466,1.8542,90.61913043,0.473043478
467,1.8674,90.75021739,0.47
468,1.8806,90.88130435,0.466956522
469,1.8938,91.06739131,0.458913044
470,1.907,91.25347826,0.450869565
471,1.9154,91.41782609,0.444130435
472,1.9238,91.58217391,0.437391304
473,1.9322,91.78130435,0.428478261
